详细地址,详情链接,房型,户型,面积,出售价格,登记时间,修改时间戳
纺织五街落地房6层边间，房东置换,https://www.lgfdcw.com/cs/csdetail_267827.html,套房,五室二厅四卫四阳台,320平方米,125万元/套,[10-14],2024-10-14 18:45:59.219063
御龙湾锦园6楼 学区8中 好位置 1,https://www.lgfdcw.com/cs/csdetail_283687.html,套房,三室一厅一卫一阳台,102平方米,109万元/套,[10-14],2024-10-14 18:45:59.219063
【新湖绿都北苑 】吉房出售 业主,https://www.lgfdcw.com/cs/csdetail_266824.html,套房,三室一厅二卫二阳台,123平方米,113万元/套,[10-14],2024-10-14 18:45:59.219063
幸福小区5楼114平方，有证，―口,https://www.lgfdcw.com/cs/csdetail_278915.html,套房,三室一厅二卫一阳台,114平方米,48万元/套,[10-14],2024-10-14 18:45:59.219063
急卖急卖 西一街与龙湖路口，后栋,https://www.lgfdcw.com/cs/csdetail_270180.html,套房,五室三厅四卫一阳台,300平方米,120万元/套,[10-14],2024-10-14 18:45:59.219063
德雅花园，一楼，133.5平只要88万,https://www.lgfdcw.com/cs/csdetail_283458.html,套房,三室二厅二卫一阳台,133.5平方米,88万元/套,[10-14],2024-10-14 18:45:59.219063
新房源！热闹地段，边套有电梯，,https://www.lgfdcw.com/cs/csdetail_273092.html,套房,三室一厅二卫一阳台,0平方米,,[10-14],2024-10-14 18:45:59.219063
逸合城低楼115平方，只要82万.，,https://www.lgfdcw.com/cs/csdetail_282693.html,套房,三室一厅二卫一阳台,115平方米,82万元/套,[10-14],2024-10-14 18:45:59.219063
华鸿中央公园 证满二税低 96平方,https://www.lgfdcw.com/cs/csdetail_270739.html,套房,三室一厅二卫一阳台,96平方米,125万元/套,[10-14],2024-10-14 18:45:59.219063
长运大厦10楼 中等装修,https://www.lgfdcw.com/cs/csdetail_269661.html,套房,四室二厅二卫,182平方米,168万元,[10-14],2024-10-14 18:45:59.219063
塘东小区6楼 毛坯房,https://www.lgfdcw.com/cs/csdetail_269660.html,套房,三室二厅二卫,110平方米,48万元,[10-14],2024-10-14 18:45:59.219063
莲池公寓5楼,https://www.lgfdcw.com/cs/csdetail_269659.html,套房,三室二厅二卫,110平方米,58万元,[10-14],2024-10-14 18:45:59.219063
荣御府20楼,https://www.lgfdcw.com/cs/csdetail_269656.html,套房,四室二厅二卫,155平方米,338万元/套,[10-14],2024-10-14 18:45:59.219063
彩虹大厦13楼 精装修,https://www.lgfdcw.com/cs/csdetail_269657.html,套房,四室二厅二卫,160平方米,148万元,[10-14],2024-10-14 18:45:59.219063
花园一街5楼 豪华装修,https://www.lgfdcw.com/cs/csdetail_269655.html,套房,三室二厅二卫,120平方米,88万元,[10-14],2024-10-14 18:45:59.219063
正丰大厦6楼 毛坯房,https://www.lgfdcw.com/cs/csdetail_269654.html,套房,一室,128平方米,134.4万元,[10-14],2024-10-14 18:45:59.219063
繁荣路后栋2楼,https://www.lgfdcw.com/cs/csdetail_269653.html,套房,一室,87平方米,42万元,[10-14],2024-10-14 18:45:59.219063
精品市场民房,https://www.lgfdcw.com/cs/csdetail_269632.html,民房,一室,200平方米,70万元,[10-14],2024-10-14 18:45:59.219063
长运大厦1楼,https://www.lgfdcw.com/cs/csdetail_269631.html,店面,一室,421平方米,1000万元,[10-14],2024-10-14 18:45:59.219063
正丰大厦3楼 毛坯房,https://www.lgfdcw.com/cs/csdetail_269630.html,套房,一室,127平方米,152万元,[10-14],2024-10-14 18:45:59.219063
纺织二街2楼 中等装修,https://www.lgfdcw.com/cs/csdetail_269629.html,套房,一室,85平方米,45万元,[10-14],2024-10-14 18:45:59.219063
龙金首府23楼 毛坯房,https://www.lgfdcw.com/cs/csdetail_269626.html,套房,一室,170平方米,289万元,[10-14],2024-10-14 18:45:59.219063
国发花园2楼,https://www.lgfdcw.com/cs/csdetail_269625.html,套房,四室二厅二卫,148.8平方米,133.2万元,[10-14],2024-10-14 18:45:59.219063
凯宇花园3楼,https://www.lgfdcw.com/cs/csdetail_269624.html,套房,一室,89平方米,90万元,[10-14],2024-10-14 18:45:59.219063
德雅花园11楼 中等装修,https://www.lgfdcw.com/cs/csdetail_269623.html,套房,四室二厅二卫,186平方米,220万元,[10-14],2024-10-14 18:45:59.219063
